Price,Manufacturer,Model,Mileage,Horse Power,Fuel,Transmission,Fabrication Year,Age,Posting Month,Posting Year,country_of_origin
34800.0,GEELY,GK-GL,49000.0,6.0,Gasoline,Manual,2021.0,3.0,February,2024.0,China
38000.0,GEELY,GK-GL,117000.0,6.0,Gasoline,Manual,2021.0,3.0,March,2024.0,China
27000.0,LANCIA,YPSILON,167000.0,4.0,Gasoline,Manual,2013.0,11.0,February,2024.0,Italy
30000.0,IVECO,DAILY,320000.0,8.0,Diesel,Manual,2007.0,17.0,February,2024.0,Italy
31000.0,GEELY,MK-GS,128000.0,6.0,Gasoline,Manual,2021.0,3.0,February,2024.0,China
15500.0,GEELY,GK-GL,93000.0,6.0,Gasoline,Manual,2020.0,4.0,February,2024.0,China
41500.0,GEELY,GK-GL,49000.0,4.0,Gasoline,Manual,2021.0,3.0,February,2024.0,China
34500.0,GEELY,GK-GL,51000.0,6.0,Gasoline,Manual,2022.0,2.0,February,2024.0,China
35000.0,GEELY,GK-GL,52000.0,6.0,Gasoline,Manual,2021.0,3.0,March,2024.0,China
32500.0,VOLVO,S80,122000.0,11.0,Gasoline,Automatic,2011.0,13.0,February,2024.0,Sweden
35000.0,GEELY,GK-GL,50000.0,6.0,Gasoline,Manual,2022.0,2.0,February,2024.0,China
37000.0,GEELY,GK-GS,66000.0,6.0,Gasoline,Manual,2021.0,3.0,February,2024.0,China
28000.0,IVECO,DAILY,200000.0,10.0,Diesel,Manual,1994.0,30.0,February,2024.0,Italy
30000.0,LANCIA,DELTA,190000.0,6.0,Diesel,Manual,2009.0,15.0,February,2024.0,Italy
43000.0,BYD,F1,79000.0,7.0,Gasoline,Manual,2017.0,7.0,February,2024.0,China
23000.0,BYD,F1,555000.0,4.0,Diesel,Automatic,1999.0,25.0,February,2024.0,China
34500.0,GEELY,GK-GS,51000.0,6.0,Gasoline,Manual,2022.0,2.0,March,2024.0,China
60000.0,VOLVO,S40,97000.0,10.0,Gasoline,Automatic,2015.0,9.0,March,2024.0,Sweden
33200.0,GEELY,GK-GL,11000.0,6.0,Gasoline,Manual,2019.0,5.0,March,2024.0,China
53000.0,GEELY,GK-GL,31000.0,6.0,Gasoline,Manual,2022.0,2.0,January,2024.0,China
38500.0,GEELY,GK-GL,120000.0,6.0,Gasoline,Manual,2018.0,6.0,January,2024.0,China
151500.0,VOLVO,XC70,35000.0,9.0,Gasoline,Automatic,2022.0,2.0,January,2024.0,Sweden
30000.0,LANCIA,YPSILON,74500.0,4.0,Gasoline,Manual,2012.0,12.0,January,2024.0,Italy
10000.0,IVECO,DAILY,285500.0,10.0,Diesel,Manual,2008.0,16.0,January,2024.0,Italy
25000.0,IVECO,DAILY,8555.0,10.0,Diesel,Manual,1999.0,25.0,December,2023.0,Italy
35000.0,IVECO,DAILY,200000.0,10.0,Diesel,Manual,2008.0,16.0,January,2024.0,Italy
35000.0,IVECO,DAILY,30000.0,6.0,Diesel,Manual,2015.0,9.0,January,2024.0,Italy
28000.0,GEELY,GK-GL,150000.0,6.0,Gasoline,Manual,2020.0,4.0,January,2024.0,China
32500.0,VOLVO,S80,122000.0,11.0,Gasoline,Automatic,2011.0,13.0,January,2024.0,Sweden
65000.0,GEELY,GK-GS,18870.0,7.0,Gasoline,Automatic,2022.0,2.0,December,2023.0,China
40000.0,IVECO,DAILY,550000.0,10.0,Diesel,Manual,2009.0,15.0,December,2023.0,Italy
62000.0,VOLVO,XC60,190000.0,13.0,Gasoline,Automatic,2011.0,13.0,December,2023.0,Sweden
28000.0,LANCIA,YPSILON,125000.0,4.0,Gasoline,Manual,2015.0,9.0,December,2023.0,Italy
34000.0,GEELY,GK-GL,70000.0,6.0,Gasoline,Manual,2020.0,4.0,February,2024.0,China
34000.0,LANCIA,YPSILON,130000.0,4.0,Gasoline,Manual,2015.0,9.0,February,2024.0,Italy
31000.0,GEELY,GK-GL,104000.0,5.0,Gasoline,Manual,2019.0,5.0,December,2023.0,China
53000.0,GEELY,MK-GL,30000.0,6.0,Gasoline,Manual,2022.0,2.0,December,2023.0,China
46000.0,DS,DS3,120000.0,6.0,Gasoline,Automatic,2019.0,5.0,December,2023.0,France
30000.0,ALFA ROMEO,MITO,170000.0,6.0,Gasoline,Manual,2013.0,11.0,November,2023.0,Italy
38500.0,DS,DS3,107000.0,5.0,Gasoline,Manual,2017.0,7.0,November,2023.0,France
23000.0,VOLVO,S40,243298.0,6.0,Gasoline,Manual,2009.0,15.0,December,2023.0,Sweden
52000.0,INFINITI,FX,190000.0,20.0,Gasoline,Automatic,2008.0,16.0,September,2023.0,Japan
38000.0,VOLVO,C30,154000.0,6.0,Gasoline,Manual,2011.0,13.0,October,2023.0,Sweden
11000.0,ALFA ROMEO,156,256000.0,6.0,Diesel,Manual,2002.0,22.0,October,2023.0,Italy
47500.0,GEELY,GK-GL,49000.0,6.0,Gasoline,Manual,2022.0,2.0,September,2023.0,China
41000.0,IVECO,DAILY COMBI,263000.0,4.0,Diesel,Manual,2017.0,7.0,September,2023.0,Italy
17500.0,ALFA ROMEO,147,170000.0,7.0,Gasoline,Manual,2002.0,22.0,August,2023.0,Italy
26000.0,ALFA ROMEO,MITO,179500.0,5.0,Gasoline,Manual,2012.0,12.0,July,2023.0,Italy
34000.0,ALFA ROMEO,GIULIETTA,183000.0,7.0,Gasoline,Manual,2012.0,12.0,March,2023.0,Italy
47000.0,DS,DS5,230000.0,9.0,Gasoline,Automatic,2013.0,11.0,March,2023.0,France
57000.0,IVECO,DAILY COMBI,250000.0,8.0,Diesel,Manual,2016.0,8.0,March,2023.0,Italy
28000.0,GEELY,GK-GL,88000.0,6.0,Gasoline,Manual,2019.0,5.0,April,2023.0,China
70000.0,IVECO,DAILY COMBI,80000.0,10.0,Diesel,Manual,2020.0,4.0,May,2023.0,Italy
34000.0,DS,DS3,75000.0,5.0,Gasoline,Manual,2014.0,10.0,March,2023.0,France
35000.0,IVECO,DAILY COMBI,320000.0,8.0,Diesel,Manual,2006.0,18.0,March,2023.0,Italy
24000.0,ALFA ROMEO,MITO,240000.0,5.0,Gasoline,Manual,2012.0,12.0,April,2023.0,Italy
70000.0,IVECO,DAILY COMBI,75000.0,8.0,Diesel,Manual,2018.0,6.0,February,2023.0,Italy
33000.0,ALFA ROMEO,MITO,186000.0,6.0,Gasoline,Manual,2010.0,14.0,November,2022.0,Italy
52000.0,INFINITI,FX,190000.0,20.0,Gasoline,Automatic,2008.0,16.0,March,2024.0,Japan
46000.0,DS,DS3,120000.0,6.0,Gasoline,Automatic,2019.0,5.0,February,2024.0,France
32000.0,ALFA ROMEO,MITO,178000.0,5.0,Gasoline,Manual,2011.0,13.0,February,2024.0,Italy
111110.0,ALFA ROMEO,156,300000.0,8.0,Gasoline,Manual,2000.0,24.0,January,2024.0,Italy
43000.0,ALFA ROMEO,GIULIETTA,182000.0,9.0,Gasoline,Automatic,2015.0,9.0,January,2024.0,Italy
38000.0,VOLVO,C30,154000.0,6.0,Gasoline,Manual,2011.0,13.0,October,2023.0,Sweden
23000.0,VOLVO,S40,243298.0,6.0,Gasoline,Manual,2009.0,15.0,December,2023.0,Sweden
38500.0,DS,DS3,107000.0,5.0,Gasoline,Manual,2017.0,7.0,November,2023.0,France
30000.0,ALFA ROMEO,MITO,170000.0,6.0,Gasoline,Manual,2013.0,11.0,November,2023.0,Italy
