iter	Passed	Remaining
0	38	19298
1	83	20684
2	105	17515
3	123	15262
4	155	15423
5	200	16538
6	243	17140
7	304	18735
8	357	19524
9	407	19962
10	461	20535
11	482	19603
12	510	19123
13	518	17993
14	549	17761
15	577	17476
16	626	17793
17	666	17840
18	679	17198
19	703	16878
20	724	16532
21	729	15852
22	759	15749
23	796	15801
24	831	15798
25	858	15653
26	868	15211
27	875	14750
28	885	14375
29	920	14416
30	935	14159
31	942	13779
32	959	13574
33	982	13468
34	1025	13619
35	1074	13844
36	1111	13911
37	1134	13795
38	1160	13717
39	1185	13633
40	1240	13887
41	1283	13991
42	1297	13784
43	1340	13891
44	1373	13884
45	1412	13944
46	1453	14005
47	1511	14231
48	1522	14010
49	1572	14149
50	1577	13887
51	1605	13832
52	1636	13798
53	1660	13716
54	1689	13672
55	1703	13509
56	1734	13477
57	1751	13350
58	1790	13382
59	1828	13405
60	1862	13407
61	1895	13387
62	1924	13352
63	1955	13321
64	1988	13307
65	2028	13337
66	2065	13349
67	2095	13315
68	2120	13246
69	2154	13233
70	2169	13109
71	2201	13084
72	2229	13041
73	2241	12906
74	2274	12888
75	2307	12872
76	2325	12772
77	2350	12715
78	2384	12707
79	2416	12685
80	2446	12654
81	2479	12641
82	2528	12704
83	2550	12630
84	2585	12625
85	2615	12588
86	2650	12580
87	2701	12645
88	2738	12646
89	2770	12619
90	2805	12607
91	2844	12613
92	2883	12620
93	2916	12598
94	2949	12572
95	2981	12547
96	3016	12533
97	3046	12496
98	3096	12544
99	3144	12576
100	3192	12611
101	3235	12623
102	3285	12664
103	3338	12712
104	3377	12706
105	3418	12706
106	3463	12721
107	3496	12690
108	3527	12652
109	3561	12628
110	3592	12590
111	3622	12550
112	3654	12514
113	3689	12493
114	3731	12492
115	3774	12495
116	3805	12458
117	3844	12445
118	3874	12403
119	3911	12385
120	3942	12348
121	3977	12324
122	4020	12322
123	4056	12299
124	4094	12283
125	4125	12244
126	4155	12203
127	4191	12180
128	4225	12151
129	4260	12125
130	4295	12100
131	4341	12103
132	4381	12090
133	4413	12055
134	4445	12018
135	4477	11984
136	4506	11940
137	4538	11904
138	4580	11895
139	4622	11885
140	4660	11865
141	4693	11832
142	4727	11803
143	4767	11786
144	4818	11797
145	4864	11794
146	4912	11797
147	4954	11784
148	4988	11751
149	5022	11718
150	5052	11677
151	5085	11642
152	5118	11609
153	5150	11571
154	5183	11537
155	5212	11493
156	5245	11459
157	5278	11426
158	5310	11389
159	5341	11351
160	5370	11308
161	5401	11268
162	5433	11233
163	5477	11222
164	5512	11191
165	5541	11150
166	5572	11111
167	5606	11079
168	5637	11041
169	5674	11014
170	5710	10986
171	5757	10979
172	5810	10983
173	5867	10992
174	5916	10987
175	5950	10953
176	5990	10931
177	6032	10912
178	6063	10873
179	6100	10845
180	6135	10813
181	6168	10777
182	6203	10745
183	6239	10714
184	6278	10690
185	6312	10656
186	6346	10621
187	6382	10591
188	6439	10595
189	6493	10593
190	6545	10589
191	6590	10572
192	6635	10555
193	6686	10547
194	6742	10545
195	6805	10554
196	6857	10548
197	6908	10537
198	6941	10499
199	6975	10463
200	7008	10424
201	7042	10389
202	7076	10353
203	7124	10336
204	7155	10296
205	7187	10257
206	7220	10220
207	7256	10187
208	7297	10160
209	7334	10127
210	7371	10096
211	7425	10087
212	7471	10067
213	7508	10034
214	7541	9997
215	7574	9959
216	7605	9918
217	7637	9879
218	7666	9836
219	7694	9793
220	7724	9752
221	7757	9714
222	7791	9677
223	7822	9637
224	7851	9596
225	7883	9557
226	7913	9517
227	7949	9483
228	7983	9448
229	8013	9407
230	8052	9377
231	8093	9349
232	8141	9329
233	8176	9294
234	8216	9265
235	8256	9236
236	8287	9196
237	8320	9159
238	8354	9123
239	8385	9083
240	8414	9042
241	8447	9006
242	8479	8967
243	8510	8929
244	8541	8890
245	8582	8861
246	8629	8838
247	8662	8801
248	8695	8765
249	8727	8727
250	8757	8688
251	8788	8649
252	8822	8613
253	8852	8574
254	8883	8534
255	8914	8496
256	8947	8459
257	8993	8435
258	9039	8411
259	9089	8390
260	9165	8392
261	9220	8376
262	9264	8348
263	9297	8311
264	9328	8272
265	9359	8233
266	9391	8195
267	9420	8155
268	9450	8115
269	9481	8077
270	9512	8038
271	9545	8001
272	9579	7965
273	9613	7929
274	9647	7893
275	9682	7858
276	9715	7821
277	9752	7787
278	9786	7751
279	9829	7723
280	9876	7697
281	9911	7662
282	9951	7630
283	9985	7594
284	10019	7558
285	10052	7522
286	10085	7485
287	10116	7446
288	10150	7410
289	10192	7380
290	10239	7354
291	10293	7332
292	10340	7305
293	10375	7269
